Date,DL002,DL014,DL019,DL021,DL028,DL031,DL033,KA009,KA010,TG005,TG006,TN001,UP012
2015-01-01,,73.10333333333332,,227.11,,,159.86,7.14,,12.67,,20.63,6.24
2015-01-02,,103.69666666666666,,155.13,,,109.87,8.57,,15.41,,20.59,6.24
2015-01-03,,134.29,,61.86,,,46.3,27.0,,18.15,,20.82,6.24
2015-01-04,,99.91,,59.17,,,34.34,26.98,,20.89,,20.5,6.24
2015-01-05,,82.67,,31.36,,,25.28,15.51,,13.3,,20.61,6.24
2015-01-06,,84.17,,38.11,,,36.75,10.38,,26.23,,20.78,6.24
2015-01-07,,105.82,,58.31,,,44.18,8.23,,66.15,,20.67,6.24
2015-01-08,,106.64,,49.65,,,43.67,11.01,,43.33,,13.1,6.24
2015-01-09,,93.12,,45.52,,,41.53,4.99,,40.39,,15.24,6.24
2015-01-10,,136.05,,37.7,,,49.69,12.44,,40.64,,20.7,6.24
2015-01-11,,127.28,,59.715,,,56.92,11.09,,45.96,,20.63,6.24
2015-01-12,,96.69,,81.73,,,53.47,18.64,,43.46,,20.41,6.24
2015-01-13,,109.82,,65.07,,,64.42,14.81,,57.0,,20.56,6.24
2015-01-14,,83.38,,62.18,,,38.53,16.58,,55.0,,20.62,6.86
2015-01-15,,178.27,,96.51,,,94.4,12.25,,38.22,,20.35,6.24
2015-01-16,,145.61,,110.5,,,70.56,24.92,,30.9,,20.42,6.24
2015-01-17,,182.33,,111.51,,,99.79,23.69,,40.76,,8.35,6.24
2015-01-18,,191.36,,91.17,,,78.9,22.4,,35.37,,7.69,6.24
2015-01-19,,92.84,,88.7,,,60.22,20.22,,33.72,,7.52,6.24
2015-01-20,,79.55,,35.9,,,34.2,22.66,,33.66,,7.66,6.24
2015-01-21,,62.94,,39.97,,,34.17,18.26,,30.87,,8.03,6.24
2015-01-22,,66.2525,,44.73,,,43.48,29.64,,33.65,,7.71,6.24
2015-01-23,,69.565,,28.9,,,36.87,10.64,,36.51,,20.41,6.24
2015-01-24,,72.8775,,24.41,,,25.32,2.75,,25.97,,21.02,6.24
2015-01-25,,76.19,,21.13,,,30.43,3.79,,24.02,,21.01,6.24
2015-01-26,,60.78,,25.325,,,26.77,5.12,,17.06,,21.02,6.24
2015-01-27,,82.91,,29.52,,,31.44,5.92,,23.16,,21.18,6.24
2015-01-28,,78.8,,32.6,,,30.45,3.73,,24.15,,21.0,6.24
2015-01-29,,104.85,,50.24,,,43.59,3.43,,25.05,,20.92,6.24
2015-01-30,,90.9,,46.9,,,39.11,5.38,,40.18,,20.9,6.24
2015-01-31,,104.59,,78.82,,,76.52,3.96,,35.25,,21.0,6.24
2015-02-01,,185.61,,117.04,,,108.91,4.3,,43.1,,20.55,6.24
2015-02-02,,65.75,,34.44,,,29.73,6.41,,29.4,,27.37,6.24
2015-02-03,,62.85,,25.04,,,22.36,6.91,,23.71,,21.09,6.24
2015-02-04,,69.91,,30.43,,,26.06,7.03,,90.03,,20.45,6.24
2015-02-05,,101.06,,54.19,,,40.31,6.58,,72.01,,20.85,6.24
2015-02-06,,208.24,,75.44,,,88.97,6.99,,54.55,,20.72,6.24
2015-02-07,,191.85,,68.11,,,54.01,7.71,,29.14,,21.04,6.24
2015-02-08,,149.71,,53.095,,,57.23,5.34,,20.62,,20.56,6.24
2015-02-09,,105.58,,38.08,,,32.58,7.84,,20.91,,20.92,6.24
2015-02-10,,114.01,,39.88,,,42.94,7.68,,16.73,,20.82,6.24
2015-02-11,,142.82,,68.98,,,63.05,7.44,,25.015,,20.82,6.24
2015-02-12,,162.45,,67.77,,,68.51,16.92,,33.3,,20.97,6.24
2015-02-13,,117.32,,54.26,,,71.55,11.93,,41.1,,21.31,8.16
2015-02-14,,188.95,,172.66,,,156.98,9.53,,41.38,,22.1,6.72
2015-02-15,,170.19,,113.56,,,78.72,7.04,,41.66,,22.12,6.24
2015-02-16,,90.65,,72.26,,,47.53,10.38,,86.7,,21.51,6.24
2015-02-17,,340.5,,75.85,,,48.4,12.64,,97.37,,14.03,6.24
2015-02-18,,167.74,,188.06,,,154.24,12.54,,36.02,,8.9,6.24
2015-02-19,,72.58,,63.35,,,61.13,11.98,,25.18,,8.12,6.24
2015-02-20,,61.64,,54.14,,,41.96,9.46,,22.71,,14.71,6.24
2015-02-21,,110.28,,78.05,,,76.88,6.46,,27.36,,19.06,6.24
2015-02-22,,64.44,,29.58,,,27.22,8.95,,70.71,,16.68,6.24
2015-02-23,,82.53,,34.76,,,48.46,11.96,,59.95,,18.1,6.24
2015-02-24,,117.73,,39.94,,,95.18,10.69,,36.38,,18.22,6.24
2015-02-25,,41.49,,42.28,,,36.58,12.8,,29.59,,19.55,6.24
2015-02-26,,49.215,,32.8,,,35.93,10.14,,27.78,,17.77,6.24
2015-02-27,,56.94,,38.25,,,45.12,10.96,,25.31,,18.26,6.24
2015-02-28,,9.07,,33.21,,,46.17,8.78,,17.7,,18.97,6.24
2015-03-01,,4.76,,27.07,,,23.88,7.13,,14.84,,19.08,6.24
2015-03-02,,16.65,,18.56,,,18.08,22.33,,45.92,,11.44,6.24
2015-03-03,,36.26,,35.56,,,47.88,16.26,,25.7,,12.85,6.24
2015-03-04,,37.43,,25.56,,,37.99,7.58,,21.04,,16.69,6.24
2015-03-05,,61.72,,60.96,,,75.54,14.34,,26.62,,6.97,6.24
2015-03-06,,31.58,,39.96,,,52.96,11.85,,27.59,,6.46,6.24
2015-03-07,,23.95,,25.82,,,34.77,13.78,,30.51,,6.73,6.24
2015-03-08,,24.59,,34.89,,,34.83,7.36,,24.01,,6.26,6.24
2015-03-09,,24.78,,22.67,,,23.39,18.14,,43.66,,7.79,6.24
2015-03-10,,26.0,,27.82,,,31.5,13.15,,38.9,,10.77,6.24
2015-03-11,,35.14,,44.23,,,40.92,19.66,,42.72,,17.77,6.24
2015-03-12,,42.5,,45.69,,,67.05,14.19,,33.35,,17.28,6.24
2015-03-13,,36.15,,50.85,,,71.2,17.0,,31.39,,16.06,6.24
2015-03-14,,30.01,,43.58,,,51.23,22.54,,23.58,,17.06,6.24
2015-03-15,,22.45,,20.77,,,21.72,20.96,,16.03,,18.96,6.24
2015-03-16,,23.45,,32.13,,,23.28,26.22,,19.21,,18.52,6.24
2015-03-17,,29.08,,30.58,,,31.64,30.55,,26.87,,,6.24
2015-03-18,,26.3,,23.92,,,22.45,31.76,,24.56,,,6.24
2015-03-19,,35.56,,45.38,,,37.75,29.48,,25.9,,,6.24
2015-03-20,,43.84,,45.47,,,58.81,18.68,,32.17,,,6.24
2015-03-21,,43.52,,50.51,,,60.33,18.04,,42.64,,,6.24
2015-03-22,,26.23,,23.58,,,24.24,15.33,,36.35,,,6.24
2015-03-23,,34.55,,33.13,,,33.75,17.45,,77.44,,,6.24
2015-03-24,,43.38,,36.96,,,82.72,20.88,,85.71,,,6.24
2015-03-25,,40.56,,57.44,,,76.87,16.39,,50.91,,25.03,6.24
2015-03-26,,37.7,,60.29,,,84.53,21.03,,22.27,,35.99,6.24
2015-03-27,,27.99,,29.75,,,34.58,18.82,,22.34,,36.7,6.24
2015-03-28,,47.7,,72.86,,,88.88,18.36,,27.76,,36.64,6.24
2015-03-29,,31.71,,61.56,,,78.25,14.08,,24.49,,36.61,7.61
2015-03-30,,15.38,,20.73,,,22.36,17.29,,23.54,,31.45,16.6
2015-03-31,,18.33,,34.54,,,33.17,12.7,,26.65,,24.77,20.03
2015-04-01,,37.62,,73.41,,,106.91,10.99,,21.59,,22.27,6.24
2015-04-02,,16.53,,34.42,,,26.96,13.11,,23.06,,25.84,6.24
2015-04-03,,15.84,,30.65,,,25.76,8.0,,48.77,,26.94,6.24
2015-04-04,71.39,16.79,,34.95,,53.91,29.68,15.04,,38.11,,30.72,6.24
2015-04-05,60.69,28.02,,62.55,,51.45,48.34,9.78,,35.91,,28.72,6.24
2015-04-06,67.35249999999999,43.31,,100.78,,54.1325,118.39,11.58,,22.63,,20.88,6.24
2015-04-07,74.01499999999999,17.67,,33.1,109.21,56.815,74.805,18.2,,31.52,,13.06,6.24
2015-04-08,80.67749999999998,25.57,,44.0,81.32,59.4975,31.22,9.41,,17.66,,27.06,6.24
2015-04-09,87.34,24.44,92.25,29.37,85.72,62.18,37.43,11.06,,31.61,,17.14,6.24
2015-04-10,88.77,31.52,93.31,36.67,79.04,69.64,57.6,9.38,,34.32,,16.31,6.24
2015-04-11,92.56,40.43,152.58,38.81,92.55,68.77,88.02,10.5,,32.06,,27.12,6.24
2015-04-12,72.1,19.33,125.79,14.57,67.31,55.43,34.99,7.75,,13.55,,26.73,6.24
2015-04-13,65.61,31.61,99.0,2.7,85.32,56.53,61.36,11.22,,27.53,,17.81,6.24
2015-04-14,57.97,,91.43,17.44,68.09,55.19,42.63,9.35,,29.34,,27.61,6.24
2015-04-15,72.49,,154.37,23.85,91.77,72.36,64.45,19.78,,23.62,,15.17,6.24
2015-04-16,62.93,,127.87,33.95,67.57,52.37,35.26,20.88,,20.24,,15.78,6.24
2015-04-17,81.26,,66.89,40.54,59.58,56.84,54.88,9.75,,26.86,,29.77,6.24
2015-04-18,85.84,50.62,109.25,47.15,84.48,68.46,88.21,8.68,,67.91,,28.46,6.24
2015-04-19,101.0,43.47,219.89,76.53,108.34,70.36,133.66,10.62,,31.05,,35.2,6.24
2015-04-20,60.27,24.81,159.15,47.22,112.25,64.87,73.78,9.65,,24.21,,36.59,6.24
2015-04-21,91.09,32.43,101.42,42.44,78.7,55.87,90.05,16.88,,27.87,,36.46,6.24
2015-04-22,100.34,34.55,117.52,55.17,89.89,67.78,109.3,24.59,,36.38,,36.56,6.24
2015-04-23,140.5,51.31,175.09,84.62,121.86,83.36,116.51,22.38,,28.48,,36.36,6.24
2015-04-24,142.83,51.49,199.64,97.86,132.11,106.96,136.15,12.66,,21.07,,23.5,6.24
2015-04-25,72.94,30.26,151.39,53.95,103.57,66.65,78.53,12.56,,35.3,,5.29,6.24
2015-04-26,42.3,16.92,79.07,29.28,57.06,36.87,43.58,23.48,,34.04,,5.22,6.24
2015-04-27,41.48,17.59,82.44,29.34,65.9,39.79,45.74,19.71,,32.78,,5.4,6.24
2015-04-28,49.76,17.22,87.09,30.77,62.76,36.52,34.52,25.21,,25.34,,5.29,6.24
2015-04-29,48.53,19.19,95.37,37.82,83.17,60.99,42.87,27.18,,24.05,,5.4,6.24
2015-04-30,50.9,18.75,95.96,32.77,85.56,67.29,39.37,11.61,,35.02,,12.49,6.24
2015-05-01,59.54,18.34,89.81,32.82,,105.9,42.69,12.17,,69.42,,5.25,6.24
2015-05-02,98.79,34.08,127.03,55.54,,109.7,69.66,18.99,,19.37,,5.57,6.24
2015-05-03,106.55,53.55,147.79,96.61,,162.22,116.56,8.9,,20.07,,5.4,6.24
2015-05-04,101.11,55.26,165.5,95.97,,149.3,116.19,15.14,,24.32,,5.5,6.24
2015-05-05,132.13,68.44,225.5,135.9,205.8,184.42,148.13,12.88,,20.37,,5.6,6.24
2015-05-06,115.21,49.41,178.52,96.03,94.92,210.47,141.49,8.6,,24.92,,17.36,6.24
2015-05-07,93.37,37.92,113.46,47.57,85.67,108.69,60.55,11.1,,23.92,,35.9,6.24
2015-05-08,92.87,39.23,101.11,69.4,70.99,117.37,60.89,9.93,,39.41,,10.42,6.24
2015-05-09,79.54,53.79,169.42,84.37,89.1,129.41,108.82,10.66,,29.61,,23.34,6.24
2015-05-10,71.39,47.99,208.52,53.08,80.55,34.73,81.64,9.65,,22.64,,37.27,6.24
2015-05-11,39.65,30.94,88.33,32.22,68.46,84.65,42.12,9.91,,34.34,,27.47,6.24
2015-05-12,35.65,25.41,93.03,29.03,67.25,72.56,36.51,9.53,,19.29,,12.74,6.24
2015-05-13,36.96,28.59,145.92,40.4,82.89,73.90666666666667,47.06,8.25,,54.46,,15.49,6.24
2015-05-14,44.25,29.75,98.85,47.14,78.51,75.25333333333333,54.99,9.01,,16.64,,20.47,6.24
2015-05-15,59.29,,130.09,54.72,84.47,76.6,108.93,9.28,,20.92,,10.15,6.24
2015-05-16,61.7725,,169.73,41.69,97.31,151.0,49.49,11.48,,20.26,,10.71,7.23
2015-05-17,64.255,,,35.69,94.33,89.5,43.81,8.74,,17.56,,10.4,8.66
2015-05-18,66.7375,,,30.62,99.92,31.73,43.87,10.25,,24.13,,10.01,8.04
2015-05-19,69.22,,,47.49,160.68,90.87,54.81,12.7,,40.48,,62.21,7.65
2015-05-20,78.64,52.08,,34.56,182.515,80.64,52.94,11.3,,37.38,,12.81,6.24
2015-05-21,110.7,40.47,,41.72,204.35,68.0,58.03,9.09,,41.97,,12.18,6.24
2015-05-22,283.4,38.15,47.24,37.38,70.98,79.41,51.39,8.5,,40.71,,11.69,6.24
2015-05-23,303.41,40.93,52.93,35.38,51.91,88.04,59.22,9.62,,22.64,,16.42,6.24
2015-05-24,174.03,42.34,76.34,37.75,166.61,98.14,73.84,6.77,,28.05,,8.97,6.24
2015-05-25,275.72,51.54,108.94,34.12,114.62,157.42,85.63,6.05,,22.46,,19.76,6.24
2015-05-26,248.03,37.95,52.95,31.96,59.44,80.3,56.25,5.97,,36.63,,11.19,6.24
2015-05-27,249.05,45.08,59.95,42.43,103.36,103.52,55.17,8.21,,27.23,,18.55,6.24
2015-05-28,214.81,54.75,122.83,64.82,95.62,113.99,48.79,15.32,,21.64,,30.4,6.24
2015-05-29,208.76,47.04,97.21,30.59,96.06,117.2,29.7,13.74,,24.3,,41.4,6.24
2015-05-30,361.2,46.49,113.0,43.29,117.34,135.22,49.36,12.47,,20.51,,68.1,6.24
2015-05-31,281.57,37.16,48.38,32.23,64.66,92.45,38.95,3.17,,21.33,,42.25,6.24
2015-06-01,201.94,33.34,64.58,27.92,86.7,68.7,17.52,1.36,,17.42,,8.36,6.24
2015-06-02,189.22,32.67,60.8,27.18,71.8,96.93,16.53,1.18,,16.2,,9.09,6.24
2015-06-03,205.91,36.58,87.36,33.83,117.33,104.3,16.44,1.23,,22.35,,12.19,6.24
2015-06-04,161.34,35.49,67.65,30.69,84.29,88.09,32.72,0.71,,19.82,,10.43,6.24
2015-06-05,186.03666666666663,44.76,233.11,34.72,206.18,185.84,29.72,28.09,,22.2,,18.78,6.24
2015-06-06,210.7333333333333,38.11,91.01,32.39,150.08,175.9,24.41,62.53,,25.63,,10.87,6.24
2015-06-07,235.43,47.03,90.63,35.46,138.43,175.02,26.18,46.52,,35.47,,10.5,6.24
2015-06-08,316.76,57.1,106.5,54.9,116.15,51.6,29.36,18.51,,23.0,,11.52,6.24
2015-06-09,283.19,42.2,25.43,21.91,55.17,32.67,21.8,19.12,,22.6,,10.65,6.24
2015-06-10,188.56,29.54,16.44,19.1,36.38,26.81,14.16,15.62,,25.51,,10.73,6.24
2015-06-11,273.89,33.44,26.26,18.04,34.36,36.28,16.4,11.96,,24.11,,14.43,6.34
2015-06-12,359.22,34.08,28.49,17.83,36.86,42.54,19.84,3.81,,21.41,,12.98,6.62
2015-06-13,191.14,36.59,75.4,21.71,51.27,64.38,25.82,5.74,,27.11,,12.76,7.2
2015-06-14,161.19,31.24,76.52,22.4,66.81,71.11,22.38,6.48,,20.39,,10.43,7.226666666666667
2015-06-15,209.11,37.58,83.36,23.09,77.84,88.93,29.52,8.46,,14.69,,13.52,7.253333333333333
2015-06-16,240.06,48.82,142.02,28.54,75.27,154.05,37.5,8.01,,16.59,,10.62,7.28
2015-06-17,242.03,41.9,78.14,39.63,56.88,115.66,22.74,7.27,,16.5,,10.75,6.48
2015-06-18,210.07,49.96,172.0,58.14,101.14,147.02,25.14,17.09,,14.77,,10.49,6.24
2015-06-19,87.12,36.02,110.56,25.28,82.68,73.84,15.83,15.85,,20.75,,11.81,6.24
2015-06-20,97.21,26.98,42.13,18.64,58.54,51.23,11.33,12.94,,17.37,,11.79,6.24
2015-06-21,110.41,28.02,59.52,20.17,80.54,70.38,11.6,11.41,,17.35,,10.59,6.24
2015-06-22,110.32,28.94,72.1,24.06,68.06,77.55,11.65,16.61,,14.35,,15.3,6.24
2015-06-23,150.85,35.16,81.13,31.64,61.32,97.23,14.84,2.31,,12.69,,9.16,6.24
2015-06-24,219.77,31.27,99.65,24.52,95.34,129.62,14.73,1.3,,12.59,,13.96,6.24
2015-06-25,313.3,27.09,89.2,17.41,117.95,181.94,14.31,0.57,,12.93,,16.22,6.24
2015-06-26,429.38,34.87,128.33,24.13,123.57,151.71,14.77,0.89,,16.56,,10.86,6.24
2015-06-27,366.1,30.26,63.86,16.65,74.73,110.42,8.59,1.71,,19.82,,10.96,6.24
2015-06-28,331.74,31.73,123.28,20.23,118.06,138.94,9.7,0.58,,25.45,,11.13,6.24
2015-06-29,175.84,27.7,108.82,17.09,110.48,91.07,8.36,1.15,,50.1,,11.27,6.24
2015-06-30,279.68,28.62,114.21,18.06,138.48,125.13,8.6,1.55,,23.84,,10.44,6.24
2015-07-01,236.28,29.19,139.05,24.42,152.58,142.38,9.22,0.89,,14.52,,23.6,6.24
2015-07-02,354.32,33.93,118.03,20.69,106.29,153.56,9.06,0.8,,31.13,,17.38,6.24
2015-07-03,341.2,30.46,43.57,17.36,73.35,86.07,7.97,0.56,,18.81,,15.26,6.24
2015-07-04,256.53,29.34,39.53,18.79,46.46,79.46,10.43,0.49,,17.72,,12.4,6.24
2015-07-05,442.69,34.22,87.88,18.08,84.04,92.01,11.9,0.52,,13.33,,14.85,6.24
2015-07-06,231.91,28.9,156.77,26.78,130.76,198.42,11.55,6.91,,23.26,,15.35,6.24
2015-07-07,212.65,30.38,151.59,18.78,159.07,158.11,9.56,0.08,,16.83,,16.14,6.24
2015-07-08,222.52,30.94,181.63,27.44,161.53,173.92,10.61,8.34,,14.73,,14.86,6.24
2015-07-09,307.94,31.29,206.35,24.64,150.5,268.89,,8.02,,13.43,,23.9,6.24
2015-07-10,330.73,26.83,238.27,21.61,336.65,247.86,,8.4,,13.12,,15.61,6.35
2015-07-11,248.07,33.95,203.61,23.17,243.47,256.32,,11.86,,15.31,,12.42,6.24
2015-07-12,316.5833333333333,41.06999999999999,198.33,24.73,99.52,158.47,,11.28,,20.23,,7.47,6.24
2015-07-13,385.0966666666666,48.19,121.12,20.33,136.19,104.83,,10.86,,16.24,,15.36,6.24
2015-07-14,453.61,34.0,82.09,29.88,97.48,147.18,7.57,9.64,,17.29,,22.88,6.24
2015-07-15,330.81,26.17,69.43,31.36,86.65,116.0,54.75,9.49,,15.55,,15.48,6.24
2015-07-16,331.69,,88.39,25.12,97.51,139.11,36.01,9.85,,18.6,,19.57,6.24
2015-07-17,216.55,,156.02,28.17,156.24,167.95,49.68,8.92,,11.36,,15.5,6.24
2015-07-18,270.89,,185.25,35.01,184.0,153.02,70.06,9.31,,10.03,,15.11,6.24
2015-07-19,292.31,,162.61,30.38,174.93,210.5,93.17,8.91,,9.95,,17.1,6.24
2015-07-20,355.62,,204.93,28.116666666666667,199.89,244.52,96.22,9.4,,11.25,,15.66,6.24
2015-07-21,190.63,,134.12,25.85333333333333,156.04,150.07,129.79,8.65,,12.88,,15.4,6.24
2015-07-22,161.73,,114.79,23.59,147.44,127.31,111.93,8.42,,12.75,,15.32,6.24
2015-07-23,137.65,,102.17,23.27,145.56,148.07,23.56,8.52,,17.82,,39.28,6.24
2015-07-24,161.58,,141.52,23.88,152.7,150.93,,7.95,,10.66,,21.7,6.24
2015-07-25,160.76,,133.15,24.89,160.62,150.12,,8.49,,9.99,,15.64,6.24
2015-07-26,142.63,,102.39,24.37,108.16,96.61,,7.38,,11.15,,14.85,6.24
2015-07-27,154.89,,130.11,23.01,126.12,94.78,,7.51,,16.69,,17.68,6.24
2015-07-28,153.52,,124.08,23.71,250.83,87.82,,8.44,,11.15,,15.38,6.24
2015-07-29,178.58,,142.6,23.81,149.99,118.83,,11.69,,13.65,,15.99,6.24
2015-07-30,192.56,,139.03,20.53,124.97,98.15,12.14,8.15,,15.58,,16.74,6.24
2015-07-31,299.37,,128.88,25.2,134.96,140.78,12.43,7.74,,18.09,,19.67,6.24
2015-08-01,338.11,,142.89,27.15,138.24,135.31,,6.52,,18.4,,81.65,6.24
2015-08-02,270.76,,155.18,25.21,177.31,135.18,,5.47,,18.53,,14.91,6.24
2015-08-03,295.61,,112.99,20.27,163.38,150.88,,5.99,,16.7,,16.64,6.24
2015-08-04,261.59,,118.46,21.39,183.73,152.08,,6.34,,18.38,,19.21,6.24
2015-08-05,277.13,,169.08,21.61,233.67,136.52,,6.47,,16.41,,17.62,6.24
2015-08-06,263.36,,226.79,26.32,258.81,173.85,,6.74,,17.39,,17.07,6.24
2015-08-07,271.43,,201.22,28.73,242.79,175.05,,1.88,,17.24,,18.54,6.24
2015-08-08,228.34,,267.43,26.87,277.44,203.89,,1.03,,16.56,,18.89,6.24
2015-08-09,309.1,,158.41,27.72,239.13,152.16,,0.81,,16.59,,18.74,6.24
2015-08-10,322.45,,225.33,30.13,313.21,188.05,,1.77,,16.41,,17.77,6.24
2015-08-11,275.15,,249.0,24.12,323.37,233.05,,1.58,,15.83,,19.84,6.24
2015-08-12,210.08,,146.79,22.57,210.24,132.1,,0.81,,14.0,,18.32,6.24
2015-08-13,252.95,,253.45,39.51,266.21,241.91,,1.52,,15.26,,21.57,6.24
2015-08-14,236.24,,180.42,37.48,309.55,212.02,252.82,1.75,,18.37,,17.23,6.24
2015-08-15,205.14,,164.88,25.84,216.86,179.95,178.88333333333333,5.16,,20.94,,15.43,6.24
2015-08-16,325.54,,230.08,27.28,223.63,219.83,104.94666666666666,6.39,,24.11,,16.41,6.24
2015-08-17,320.38,,153.31,26.73,166.39,190.37,31.01,10.52,,16.78,,21.13,6.24
2015-08-18,255.79,,144.77,56.25,184.72,170.6,37.01,10.22,,22.28,,22.87,6.24
2015-08-19,393.35,,102.01,21.53,127.64,149.76,19.97,10.2,,22.19,,21.8,6.24
2015-08-20,243.7,,48.57,22.09,51.34,68.16,13.5,7.93,,18.75,,44.16,6.24
2015-08-21,212.06,,60.61,22.77,41.79,85.82,15.72,8.4,,19.81,,14.28,6.24
2015-08-22,213.63,,42.77,24.42,36.53,67.92,19.65,6.44,,30.82,,15.22,6.24
2015-08-23,178.7,33.44,34.85,27.65,44.17,47.33,18.58,6.28,,29.91,,14.49,6.24
2015-08-24,187.42,35.23,44.67,30.88,51.81,72.47,21.88,8.02,,27.12,,15.81,6.24
2015-08-25,188.84,41.04,27.4,22.64,37.06,56.25,15.75,15.45,,32.98,,14.7,6.24
2015-08-26,165.19,33.35,28.51,21.7,50.52,66.83,15.48,16.88,,25.9,,15.09,6.24
2015-08-27,190.4,,50.31,16.22,49.71,120.75,20.77,9.23,,33.46,,15.67,6.24
2015-08-28,89.3,,57.38,23.03,54.19,67.72,0.52,7.34,,32.51,,14.47,6.24
2015-08-29,178.03,,53.73,23.295,36.46,63.84,18.785,9.37,,24.29,,15.26,6.24
2015-08-30,176.57,,35.89,23.56,35.61,52.99,37.05,7.13,,26.91,,15.53,6.24
2015-08-31,160.23,,18.05,24.0,36.0,40.36,10.56,9.95,,21.35,,16.61,6.24
2015-09-01,175.25,,24.46,22.69,36.15,49.94,31.535,10.64,,17.64,,14.9,6.24
2015-09-02,210.34,,28.06,23.32,30.89,61.93,52.51,8.5,,18.08,15.12,15.45,6.24
2015-09-03,185.4,,19.75,22.91,49.07,76.8,30.4,9.92,,19.72,17.9875,16.05,6.24
2015-09-04,226.52,,36.42,29.16,66.29,124.92,41.9,10.97,,20.5,20.855,15.16,6.24
2015-09-05,215.09,,57.92,27.76,35.86,128.19,17.98,14.32,,22.3,23.7225,15.28,6.24
2015-09-06,156.51,,25.85,26.16,38.48,105.99,19.4,7.72,,19.73,26.59,14.31,6.24
2015-09-07,174.69,,36.17,25.69,35.31,83.79,17.47,9.25,,21.04,17.78,15.91,6.24
2015-09-08,169.92,,33.06,28.8,43.89,100.06,18.57,10.75,,24.85,21.89,16.08,6.24
2015-09-09,158.56,,27.9,25.24,36.56,70.25,17.59,10.91,,26.6,22.01,16.05,6.24
2015-09-10,162.97,,38.51,27.68,36.46,91.55,23.19,11.26,,29.93,21.23,16.92,6.24
2015-09-11,137.56,39.25,45.24,25.45,40.23,86.27,22.45,10.92,,24.74,23.7,15.72,6.24
2015-09-12,100.77,37.56,39.72,22.5,82.74,149.2,23.9,10.22,,21.72,19.02,15.75,6.24
2015-09-13,95.19,34.31,50.64,19.55,60.06,133.84,23.27,7.95,,12.93,16.09,14.69,6.24
2015-09-14,118.75,48.24,40.37,40.44,68.42,212.55,27.05,10.43,,15.33,15.46,15.55,6.24
2015-09-15,78.71,36.97,48.25,29.69,79.87,138.6,25.22,8.49,,18.15,14.46,15.22,6.24
2015-09-16,63.35,34.74,39.13,40.77,58.77,59.8,17.14,8.6,,12.64,14.97,14.77,6.24
2015-09-17,147.44,40.15,55.5,60.28,92.31,114.2,42.72,7.2,,10.29,14.15,14.79,6.24
2015-09-18,61.01,33.98,32.62,56.36,62.38,66.36,30.26,8.33,,13.86,,15.09,6.24
2015-09-19,107.12,47.19,36.67,55.51,72.16,84.37,26.39,8.18,,20.96,,19.32,6.24
2015-09-20,94.64,110.08,36.42,61.6,67.01,66.97,27.69,7.14,,40.83,,16.005,6.24
2015-09-21,78.57,119.45,42.45,55.98,61.34,42.0,24.42,15.27,,14.97,,12.69,6.24
2015-09-22,65.0,96.42,33.32,53.38,38.65,34.27,21.04,26.75,,17.98,,13.5,6.24
2015-09-23,119.57,5.0,13.35,39.78,32.44,43.32,35.34,27.84,,19.02,,13.8,
2015-09-24,242.11,,31.08,41.78,49.64,63.73,30.72,22.25,,15.17,,13.36,
2015-09-25,266.3,,54.11,64.41,53.53,115.79,41.92,21.69,,14.32,,13.19,
2015-09-26,268.48,,69.43,74.56,106.34,118.96,45.97,14.1,,15.78,,22.43,
2015-09-27,203.04,,61.95,79.45,82.09,109.88,35.81,32.68,,11.76,,13.7,
2015-09-28,149.84,,34.03,46.39,56.59,95.74,28.85,58.72,,24.58,,13.71,
2015-09-29,166.77,22.47,32.37,48.0,49.35,104.63,27.03,29.44,,17.93,,16.11,
2015-09-30,156.79,18.9,24.46,43.39,49.79,74.8,22.68,20.99,,10.29,,16.25,
2015-10-01,198.09,22.86,47.64,61.74,79.64,107.74,32.65,21.22,,12.04,25.65,19.4,
2015-10-02,194.81,27.94,38.97,,53.66,144.32,31.31,17.13,,8.36,23.68,13.65,
2015-10-03,220.93,20.34,40.06,,38.66,117.67,36.85,12.56,,14.12,16.02,15.44,6.24
2015-10-04,232.05,39.65,111.17,,46.89666666666666,140.2,64.56,14.13,,13.34,14.14,14.34,6.24
2015-10-05,175.13,46.08,162.54,,55.133333333333326,222.57,112.55,19.27,,10.77,14.38,15.29,6.24
2015-10-06,197.96,38.28,108.3,,63.37,202.35,80.56,15.91,,28.75,3.99,15.38,6.24
2015-10-07,166.63,23.95,52.74,,116.26,159.2,34.77,15.44,,23.07,1.99,14.89,6.24
2015-10-08,199.99,30.65,52.49,,110.79,127.46,40.44,18.3,,23.24,2.07,15.25,6.24
2015-10-09,257.49,36.08,79.06,,94.34,201.07,69.21,18.48,,16.83,1.96,15.31,6.24
2015-10-10,301.14,51.67,135.28,,106.58,162.3,95.36,18.06,,4.07,1.94,14.99,6.24
2015-10-11,261.14,37.11,131.64,,140.56,152.55,75.32,21.05,,4.68,1.96,15.66,6.24
2015-10-12,255.53,33.14,103.42,,147.77,233.49,69.55,24.04,,8.35,2.01,16.3,6.24
2015-10-13,72.61,25.54,77.11,,100.57,94.44,48.49,35.23,,18.89,1.96,78.17,6.24
2015-10-14,88.25,16.86,56.13,,76.89,71.73,33.03,42.55,,30.6,1.97,31.2,6.24
2015-10-15,193.51,24.85,87.59,,131.62,166.04,55.58,50.08,,14.19,1.99,41.89,6.24
